'PrimeGPF.gpf_ne_two_of_mod_four' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.square_output_ne_two' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.inverse_witness' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.proof_5_1' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.proof_5_6' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.collision_divisor' depends on axioms: [propext, Quot.sound]
'PrimeGPF.additive_residue_unique' depends on axioms: [propext]
'PrimeGPF.collision_residue_exists' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.proof_9_4' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.proof_9_5' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.collision_two_polynomials' depends on axioms: [propext, Quot.sound]
'PrimeGPF.proof_9_7' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.proof_9_2' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.refutation_order_dependency' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.proof_order_dependency' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.proof_8_3_from_external' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.proof_3_5_from_8_1' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.proof_8_2_from_5_2' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.proof_8_4_from_bounds' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.exponential_growth' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.proof_8_5_from_bounds' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.proof_9_3_from_8_3' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.proof_9_8_from_9_6_9_7' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.proof_8_1_from_8_3' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.proof_8_3_from_zsigmondy' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.proof_8_4_from_zsigmondy' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.proof_8_5_from_zsigmondy' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.proof_9_3_from_zsigmondy' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.scan_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.prime_le_scan' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.scan_sound' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.gpf_spec' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.gpf_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.gpf_eq_of_spec' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.gpf_eq_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.gpf_prime_self' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.gpf_eq_self_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.smooth_of_gpf' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.gpf_fiber' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.power_of_prime_support' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.gpf_prime_power' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.gpf_eq_two_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.kernel_gt_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.output_spec' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.oddCofactor_identity' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.oddCofactor_odd' depends on axioms: [propext, Quot.sound]
'PrimeGPF.oddCofactor_pos' depends on axioms: [propext, Quot.sound]
'PrimeGPF.oddCofactor_gt_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.gpf_ne_two_of_odd_divisor' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.odd_base_odd_exp_ne_two' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.exp_ne_two_direct' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.proof_8_1' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.proof_3_5' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.orbit_repeat' depends on axioms: [propext]
'PrimeGPF.eventuallyPeriodic_of_repeat' depends on axioms: [propext, Quot.sound]
'PrimeGPF.proof_7_5' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.proof_5_3_from_5_2' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.increasing_orbit' depends on axioms: [propext, Quot.sound]
'PrimeGPF.proof_3_1' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.add_comm' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.mul_comm' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.proof_3_2' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.proof_3_3' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.mul_ne_left' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.mul_ne_right' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.add_not_idempotent' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.exp_ne_left' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.proof_3_4' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.odd_add_closed' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.odd_mul_not_closed' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.proof_3_6' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.proof_3_7' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.proof_3_8' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.proof_4_1' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.proof_4_2' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.mul_two_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.kernel_congruences' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.fixed_dvd' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.fixed_criterion' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.fixed_set_subset' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.fixed_divisors_finite' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.proof_7_1' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.proof_7_2' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.proof_7_3' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.proof_7_4' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.proof_9_1' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.counterexample_5_5' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.refutation_5_5' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.cast_eq_iff_mod' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.cast_zero_iff_dvd' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.cast_pow_one_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.exactOrder_iff_orderOf' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.primitiveDivisor_iff_orderOf' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.primitive_order_dvd' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.mod_eq_one_of_dvd_pred' depends on axioms: [propext, Quot.sound]
'PrimeGPF.dyadic_order' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.proof_5_2' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.proof_5_3' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.proof_8_2' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.proof_5_5_corrected' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.affine_residue' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.multiplicative_progression' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.additive_progression' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.additive_degenerate_progression' depends on axioms: [propext, Quot.sound]
'PrimeGPF.proof_6_1_from_PNT_AP' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.finite_square_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.quadraticCharacter_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.proof_5_4' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.collision_discriminant' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.square_five_residues' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.proof_9_6' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.proof_9_8' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.odd_gpf_three_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.exponent_three_ge_two' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.exponent_two_ge_three' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.add_two_small' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.mul_two_odd_opposite' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.odd_add_three' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.add_three_mod_six' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.two_mul_three' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.proof_4_3' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.prime_representative' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.additive_section_unbounded' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.multiplicative_section_unbounded' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.exponential_base_unbounded' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.proof_6_4' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.factorization_le_natLog' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.factorization_le_boxExponent' depends on axioms: [propext, Classical.choice, Quot.sound]
'PrimeGPF.smoothCount_le_smoothBoxBound' depends on axioms: [propext, Classical.choice, Quot.sound]
PrimeGPF.proof_8_3_from_zsigmondy (HZ : PrimeGPF.ZsigmondyInput) : PrimeGPF.Claims.t8_3
PrimeGPF.proof_6_1_from_PNT_AP (H : PrimeGPF.PrimeAPInput) : PrimeGPF.Claims.t6_1
